RAJ2000,DEJ2000,zph,zsp,LBr,LBi,LTr,LTi,Ngal,NR200
196.11349,33.587,0.2,10.62,13.55,96.6,118.2,40,55,
209.01014,2.17905,0.27,0.26266,16.97,20.86,44.3,54.1,21,21
180.34371,23.85281,0.267,22.32,28.02,61,77.2,23,24,
193.31989,28.77307,0.203,12.62,15.38,64.5,78.3,30,37,
195.34173,48.26248,0.243,8.29,10.76,64.2,80.9,43,53,
261.19495,32.04303,0.224,8.17,10.04,70.6,86.3,29,33,
167.85167,14.14738,0.224,9.69,12.2,73.2,90,32,42,
171.81027,12.59893,0.284,0.27805,14.71,18.08,44.1,54.5,21,20
200.82803,6.13359,0.294,10.32,12.55,55.4,68.5,28,31,
166.63618,5.86633,0.289,0.29285,9.31,11.59,32.8,40.2,17,16
149.11693,18.51736,0.157,13.79,16.96,63.9,78.8,25,30,
327.26902,-8.18038,0.13,0.13417,8.12,10.36,44.1,55.7,26,27
134.24374,29.87367,0.275,0.28845,13,16.5,39.2,49.3,23,23
192.77441,9.43816,0.265,19.31,23.32,56.8,69,22,21,
187.0672,49.83943,0.254,0.26373,13.47,17.01,36.6,46.1,19,18
154.80439,-2.1403,0.221,16.17,19.41,72.4,87.3,29,33,
255.67706,34.05999,0.119,0.09929,13.27,17.51,76.4,95.4,34,39
328.29281,11.91526,0.294,0.28913,9.74,12.2,54.2,65.6,26,30
138.08967,21.49826,0.265,14.53,18.02,49.6,61.1,23,23,
211.91738,27.31871,0.24,11.67,14.79,51,63.3,23,24,
121.44974,37.81042,0.286,8.28,10.68,73.6,91.8,30,38,
201.4871,48.69913,0.3,0.27918,11.42,14.18,35.7,44.5,19,17
132.52954,29.54777,0.116,0.10364,9.33,11.78,54.3,67.7,31,33
143.37642,47.96123,0.192,0.19391,11.94,15.08,41.3,51.5,22,22
259.7861,30.73542,0.278,7.22,9.62,38.9,49.3,23,23,
172.94615,35.82078,0.219,8.28,10.11,69.7,85.6,36,48,
218.15809,31.64695,0.132,10.79,13.3,47.7,58.4,31,33,
133.73964,35.41439,0.146,0.14302,10.12,12.56,61.6,76.9,36,40
251.59667,20.30118,0.27,0.2735,11.36,14.59,27.8,35.1,14,13
145.82575,5.91143,0.103,9.07,11.97,47.6,60.1,25,27,
223.40812,26.83961,0.27,10.12,12.61,58.9,73.3,27,33,
134.15444,29.9333,0.292,0.28955,10.26,13.17,43.3,53.7,21,21
328.35924,0.19451,0.227,11.49,14.12,29.5,36.4,18,18,
175.43459,26.88979,0.297,13.07,16.1,28.5,35.3,16,12,
122.81842,28.78145,0.273,0.27062,11.58,14.33,44.6,55.2,20,19
210.63773,14.13979,0.257,0.24616,9.88,11.61,104.5,125.3,43,54
245.71392,14.49251,0.297,8.01,10.09,44.7,56.6,20,19,
128.91552,36.87376,0.292,0.29166,5.82,7.39,105.9,131.4,45,71
126.26907,31.99922,0.262,0.26489,10.91,13.33,28.9,35.5,20,20
206.47499,36.9111,0.27,13.06,15.49,94.2,113.9,36,51,
128.27645,21.31406,0.227,11.55,14.49,56.1,69.6,27,29,
216.24291,1.15362,0.292,0.30406,11.02,13.58,42.5,52.4,24,24
221.8052,20.50672,0.254,9.9,12.33,55.6,69.2,25,26,
